text
"choi_s_jun_
수학여행-일본 (1/2)

#여행 #수학여행 #일본 #팬스타크루즈 #청수사 #동대사 #사슴공원"
"02_04_l6
머시따아"
"jaelin_00
@chaeyeong_e 아ㅠ 도란스;;;"
"01_12_su
오앙 짱ㅇ짱맨??"
"_har1633
나라현 왔니???????"
"min_77k
헐 ~~~ 존잘아닌교"
"sseulia
화보다 .."
"minsun.0715
수학여행가서 화보를 찍구오셨넹,,"
"kim_hyejiny
사슴이랑 같이 찍어야징 ㅎ"
"kim_yug_yeong
와 모델같아요 진짜 화보인줄????????????"
"wikku.you97
Halo handsome"
"__ssi_e_un
@doyeong.jeon 이런 미모로 데뷔안하는게 죄다 덕질하고싶다 ㅠㅠㅠㅠㅠ"
"_mxxn_jh_o
@choi_s_jun_ 그냥 모델이네 ㅎㅎㅎ"
"yurigim5384
진짜 잘생겼다.."
"_yurilgi
분위기가 모델같아...넘 멋있엉...>.<"
"kimji0314
@hyun__1230 ,,,,,,증말,,,,,,완벽"
"junieb0122
아니...오빠 다리 너무 얇으신거 아녜요...????"
"hunui0818
석준님 덕질하고 싶다ㅜㅜㅜ 모델이라도 되셨으면...."
"mnyggm
헐 화보촬영하고 오셨어여???"
"liv_pvzn
I love You Choi ????"
"j_yyy1217
멋있어여!!"
"ohmygirlofficial
hONESTLY whY does hE not aUdition for wM entertainMent?"
"ridddikullus
YALAHHHHHHH"
"ridddikullus
genter q"
"febeggunawan
sumpahh gantengg bet adeknya arin"
"ahn_nyeong_
오랜만에 오사카에서 한잔 ??"
"yoon_ysmom
아직도 내가 깃털같징??????????
.
.
#신혼부부 #부부 #럽스타그램 #팬스타크루즈 #가족여행"
"yoon_ysmom
선상 불꽃 기다리며 둘이서 음악에 맞춰
씬나게 흔드는중 ㅋ ㅋ ㅋ ㅋ ㅋ내사랑들????
.
.
#아빠와딸 #부녀 #주말 #가족여행 #팬스타크루즈"
"y_victoria.k
첫크루즈탑승! 너무이쁘당><
#크루즈 #크루즈여행 #팬스타 #팬스타크루즈 #팬스타드림 #부산 #오사카 #여행스타그램 #여행에미치다 #셀스타그램 #일상 #cruise #panstarcruise #panstardream #busan #osaka #Instagood #instalike #instadaily #ootd #travel #photooftheday #photography #photo"
